/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 15.13M (codec d=384, frozen=True)
step   12650 | cos 0.5501 | thought 0.9198 dec_ce 1.9879 | 5.5 it/s
step   12700 | cos 0.5492 | thought 0.8975 dec_ce 1.9448 | 5.5 it/s
step   12750 | cos 0.5509 | thought 0.9192 dec_ce 1.8908 | 5.5 it/s
step   12800 | cos 0.5478 | thought 0.912 dec_ce 1.8653 | 5.6 it/s
step   12850 | cos 0.5492 | thought 0.9307 dec_ce 1.9323 | 5.5 it/s
step   12900 | cos 0.5498 | thought 0.9016 dec_ce 2.0085 | 5.5 it/s
step   12950 | cos 0.5512 | thought 0.9279 dec_ce 2.0098 | 5.7 it/s
step   13000 | cos 0.5477 | thought 0.939 dec_ce 2.0018 | 5.6 it/s
step   13050 | cos 0.5509 | thought 0.8314 dec_ce 1.7284 | 5.4 it/s
step   13100 | cos 0.5497 | thought 0.8848 dec_ce 1.8166 | 5.6 it/s
step   13150 | cos 0.5522 | thought 0.8822 dec_ce 1.8255 | 5.5 it/s
step   13200 | cos 0.5531 | thought 0.9255 dec_ce 2.0016 | 5.5 it/s
step   13250 | cos 0.5534 | thought 0.8937 dec_ce 1.9168 | 5.6 it/s
step   13300 | cos 0.5502 | thought 0.9384 dec_ce 2.0194 | 5.7 it/s
step   13350 | cos 0.5493 | thought 0.8908 dec_ce 1.9145 | 5.5 it/s
step   13400 | cos 0.5504 | thought 0.9532 dec_ce 1.9475 | 5.6 it/s
step   13450 | cos 0.5532 | thought 0.8971 dec_ce 1.9389 | 5.6 it/s
step   13500 | cos 0.5536 | thought 0.8774 dec_ce 1.889 | 5.6 it/s
step   13550 | cos 0.5501 | thought 0.9285 dec_ce 1.8929 | 5.4 it/s
step   13600 | cos 0.5524 | thought 0.8621 dec_ce 1.916 | 5.5 it/s
step   13650 | cos 0.5500 | thought 0.8978 dec_ce 2.0054 | 5.6 it/s
step   13700 | cos 0.5524 | thought 0.9409 dec_ce 1.9066 | 5.5 it/s
step   13750 | cos 0.5544 | thought 0.8849 dec_ce 1.8863 | 5.5 it/s
step   13800 | cos 0.5511 | thought 0.9138 dec_ce 1.882 | 5.5 it/s
step   13850 | cos 0.5475 | thought 0.9246 dec_ce 1.9689 | 5.4 it/s
step   13900 | cos 0.5488 | thought 0.9018 dec_ce 1.9037 | 5.5 it/s
step   13950 | cos 0.5531 | thought 0.9048 dec_ce 1.8185 | 5.6 it/s
step   14000 | cos 0.5558 | thought 0.9191 dec_ce 1.9342 | 5.5 it/s
step   14000 | VAL cos 0.5540 | VAL dec CE 3.6998
step   14050 | cos 0.5530 | thought 0.9097 dec_ce 1.914 | 4.4 it/s
step   14100 | cos 0.5502 | thought 0.8889 dec_ce 1.8475 | 5.5 it/s
step   14150 | cos 0.5509 | thought 0.9353 dec_ce 1.997 | 5.5 it/s
step   14200 | cos 0.5487 | thought 0.8835 dec_ce 1.8107 | 5.5 it/s
step   14250 | cos 0.5491 | thought 0.9296 dec_ce 1.9551 | 5.4 it/s
step   14300 | cos 0.5478 | thought 0.9623 dec_ce 2.0026 | 5.6 it/s
step   14350 | cos 0.5519 | thought 0.9167 dec_ce 2.0091 | 5.5 it/s
step   14400 | cos 0.5535 | thought 0.9217 dec_ce 1.9068 | 5.5 it/s
step   14450 | cos 0.5537 | thought 0.9077 dec_ce 1.9728 | 5.4 it/s
step   14500 | cos 0.5516 | thought 0.892 dec_ce 1.8479 | 5.6 it/s
step   14550 | cos 0.5536 | thought 0.883 dec_ce 1.9333 | 5.2 it/s
step   14600 | cos 0.5523 | thought 0.9215 dec_ce 1.9956 | 5.7 it/s
step   14650 | cos 0.5519 | thought 0.9048 dec_ce 2.0454 | 5.4 it/s
step   14700 | cos 0.5546 | thought 0.8789 dec_ce 1.8477 | 5.4 it/s
step   14750 | cos 0.5508 | thought 0.8658 dec_ce 1.8587 | 5.5 it/s
